Орысша,Қазақша
Доброе утро!,Қайырлы таң!
Добрый день!,Қайырлы күн!
Добрый вечер!,Қайырлы кеш!
Здравствуйте!,Сәлеметсізбе! Сәлем!
Привет!,Сәлем!
Как поживаете?,Қалыңыз қалай?
Как у вас дела?,Қалыңыз қалай?
Как ваши дела?,Қалыңыз қалай?
Как твое здоровье?,Денсаулығың қалай?
Чем ты сейчас занимаешься?,Қазір немен айналысып жатырсың?
У меня все хорошо,Менде бәрі жақсы
Очень рад, что у тебя все хорошо,Жақсы болғанына қуаныштымын
У меня все по-прежнему,Менде бәрі бұрынғыдай
К сожалению, я пока не говорю по-русски,Өкінішке орай, мен қазірше орысша сөйлей алмаймын
Говорите ли вы по-английски?,Ағылшынша сөйлейсіз бе?
Мне бы хотелось узнать о тебе побольше,Сен жайлы көбіреу білгім келеді
Пока все,Қазірше осы
Пиши,Жазып (хабарласып) тұр
Очень жду,Асыға күтемін
Жду вашего ответа,Сіздің жауабыңызды күтемін
С нетерпением жду ответа!,Жауабыңызды тағатсыздана күтемін!
Пока!,Сау бол!
До свидания!,Көріскенше! Келесі кездескенше!
С уважением,Құрметпен
Да,Иә
Нет,Жоқ
Извини (те),Кешір(іңіз) Ғафу етіңіз
Пожалуйста,Өтінемін Өтініш
Спасибо!,Рақмет!
